"Pass []","re(Mode(1)) [g]","re(Mode(2)) [g]","re(Mode(3)) [g]"
1,4.15591156533745,5.33132681893078,26.8227011780003
2,4.53675001625046,6.30314378933995,26.8984124887463
3,4.64146720247065,6.3155495924513,26.9157637859627
4,4.68574051695198,6.56687871650055,26.9104591878779
5,4.78785809795314,6.63453623354428,26.9035628841818
6,4.84279118018858,6.69727816231281,26.9037086293936
7,4.87179259179744,6.71963633083442,26.902327190928
8,4.87945373040726,6.72748932719742,26.9019266050433
9,,,
10,,,
